Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2012-04-30;37,7;22,664667;
2012-05-31;45,1;21,661935;
2012-06-30;17,6;20,298667;
2012-07-31;32,4;18,808387;
2012-08-31;40,6;18,427742;
2012-09-30;2;20,842667;
2012-10-31;1;22,101935;
2012-11-30;2,8;23,913333;
2012-12-31;12,8;24,010323;
2013-01-31;37;23,723871;
2013-02-28;42,9;23,855714;
2013-03-31;103,6;23,769677;
2013-04-30;225,9;21,94;
2013-05-31;78,5;20,673548;
2013-06-30;42,3;19,968;
2013-07-31;112,9;18,649677;
2013-08-31;25,3;19,067742;
2013-09-30;1,4;21,22;
2013-10-31;17,7;22,5;
2013-11-30;19,8;22,776667;
2013-12-31;97,8;23,038065;
2014-01-31;63,2;22,658065;
2014-02-28;150,4;21,560714;
2014-03-31;248,9;21,672903;
2014-04-30;189,6;21,134;
2014-05-31;147,3;19,88;
2014-06-30;43,3;19,255333;
2014-07-31;70,6;18,867742;
2014-08-31;40,2;18,780645;
2014-09-30;37,8;20,830667;
2014-10-31;71;21,166452;
2014-11-30;111,8;22,733333;
2014-12-31;8,8;22,705806;
2015-01-31;29,2;23,049032;
2015-02-28;94,8;22,672143;
2015-03-31;189,8;22,276774;
2015-04-30;99,8;22,191333;
2015-05-31;106,6;21,642581;
2015-06-30;73,5;19,2825;
2015-07-31;179,6;18,68129;
2015-08-31;29,6;19,223871;
2015-09-30;2,2;22,251333;
2015-10-31;2,2;23,135484;
2015-11-30;0;24,586;
2015-12-31;63;23,650968;
2016-01-31;289,6;21,443871;
2016-02-29;59,6;21,984828;
2016-03-31;254,9;23,161935;
2016-04-30;42,8;22,152667;
2016-05-31;28,1;21,541935;
2016-06-30;11,6;20,464;
2016-07-31;21,8;19,46;
2016-08-31;1,1;20,745806;
2016-09-30;14;22,425333;
2016-10-31;10,8;23,688387;
2016-11-30;0;24,466667;
2016-12-31;11,2;null;
2017-01-31;45,2;null;
2017-02-28;56,2;23,642143;
2017-03-31;null;22,637391;
2017-04-30;214,6;21,221481;
2017-05-31;120,6;null;
2017-06-30;null;null;
2017-07-31;168,2;null;
2017-08-31;12,4;null;
2017-09-30;41,2;null;
2017-10-31;0;null;
2017-11-30;12,6;null;
2017-12-31;null;null;
2018-01-31;67,6;null;
2018-02-28;196,6;null;
2018-03-31;101,2;null;

