Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2013-04-30;98;25,350667;
2013-05-31;56,4;22,952903;
2013-06-30;60,4;21,869333;
2013-07-31;117,1;20,496774;
2013-08-31;31,4;20,900645;
2013-09-30;11,9;22,48;
2013-10-31;20;24,067097;
2013-11-30;9,8;24,309333;
2013-12-31;90,7;25,141935;
2014-01-31;3;24,885161;
2014-02-28;65,8;24,647143;
2014-03-31;17,6;25,068387;
2014-04-30;86,3;24,463333;
2014-05-31;129,4;22,2;
2014-06-30;59,6;21,464;
2014-07-31;55,9;20,973548;
2014-08-31;59,3;20,623226;
2014-09-30;44,4;22,415333;
2014-10-31;106,4;22,514839;
2014-11-30;7,9;24,370667;
2014-12-31;7,9;24,72129;
2015-01-31;1,1;25,286897;
2015-02-28;70,9;24,917143;
2015-03-31;35,7;25,158065;
2015-04-30;10;25,802667;
2015-05-31;20;24,736129;
2015-06-30;67,2;21,998;
2015-07-31;91,3;21,110968;
2015-08-31;28,5;21,249677;
2015-09-30;15;23,305333;
2015-10-31;0;24,423226;
2015-11-30;0;26,016429;
2015-12-31;54,2;25,587097;
2016-01-31;211;24,603871;
2016-02-29;96,6;24,126207;
2016-03-31;30;25,39871;
2016-04-30;19,1;24,770667;
2016-05-31;197,2;23,000645;
2016-06-30;17,2;21,965333;
2016-07-31;11,2;21,454839;
2016-08-31;6,2;22,463871;
2016-09-30;,3;23,992;
2016-10-31;0;25,006452;
2016-11-30;0;25,750667;
2016-12-31;4,4;26,104516;
2017-01-31;0;25,849032;
2017-02-28;3,8;26,003571;
2017-03-31;17,5;26,291613;
2017-04-30;50,2;25,08;
2017-05-31;140,5;23,639355;
2017-06-30;106,5;21,458;
2017-07-31;198,3;19,456774;
2017-08-31;37,8;20,816129;
2017-09-30;80;21,192;
2017-10-31;2,5;23,53871;
2017-11-30;0;25,335333;
2017-12-31;14,4;26,1;
2018-01-31;45,9;25,147097;
2018-02-28;157,9;25,198571;
2018-03-31;124,6;24,669032;
2018-04-30;87;23,428667;
2018-05-31;76,1;22,205161;
2018-06-30;10;21,676667;
2018-07-31;26;21,652903;
2018-08-31;5,3;22,838065;
2018-09-30;19,4;23,914;
2018-10-31;18,7;25,750323;
2018-11-30;31;25,691333;
2018-12-31;25,9;25,548387;
2019-01-31;13;25,232903;
2019-02-28;58,3;26,035714;
2019-03-31;163,2;25,56;
2019-04-30;18,6;24,988667;
2019-05-31;23;24,345806;
2019-06-30;51,6;22,744;
2019-07-31;123,9;21,448387;
2019-08-31;96,2;21,030968;
2019-09-30;32,4;23,28;
2019-10-31;4,3;24,60129;
2019-11-30;7;26,486667;
2019-12-31;0;26,549677;
2020-01-31;58,7;26,601429;
2020-02-29;64,3;25,99931;
2020-03-31;509,1;24,703226;
2020-04-30;133,8;24,144615;
2020-05-31;82,8;22,9224;
2020-06-30;91,4;21,408462;
2020-07-31;78;20,6;
2020-08-31;17,2;21,191538;
2020-09-30;22,8;22,510769;
2020-10-31;32;25,345385;
2020-11-30;38,5;24,9808;
2020-12-31;0;25,497692;
2021-01-31;0;25,565;
2021-02-28;12,8;25,826087;
2021-03-31;86,6;25,003077;
2021-04-30;182,4;23,99;
2021-05-31;108,9;22,106923;
2021-06-30;42,7;21,184167;
2021-07-31;62;21,136154;
2021-08-31;54,9;21,0768;
2021-09-30;4,4;23,816154;
2021-10-31;5,7;25,517143;
2021-11-30;19,3;27,075172;
2021-12-31;36,6;26,333548;
2022-01-31;88,2;25,063448;
2022-02-28;17;26,331852;
2022-03-31;81,1;25,143448;
2022-04-30;79,4;24,471034;
2022-05-31;88,5;23,076;
2022-06-30;216,8;null;
2022-07-31;139,2;null;
2022-08-31;77,2;20,661333;
2022-09-30;18,4;22,0736;
2022-10-31;7,6;23,73875;
2022-11-30;223,4;null;
2022-12-31;2,8;24,172258;

