Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2021-07-31;17,4;24,876;
2021-08-31;3;25,3175;
2021-09-30;0;27,761667;
2021-10-31;20,4;29,1024;
2021-11-30;34,8;29,320769;
2021-12-31;91,8;28,0688;
2022-01-31;24,6;27,301538;
2022-02-28;32,6;28,101667;
2022-03-31;145,6;27,2264;
2022-04-30;89,6;26,805385;
2022-05-31;39,9;26,113077;
2022-06-30;null;null;
2022-07-31;18;23,593846;
2022-08-31;9,6;24,351852;
2022-09-30;0;26,423077;
2022-10-31;2,8;28,204615;
2022-11-30;269,3;27,0104;
2022-12-31;101,9;26,894074;

