Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2016-01-31;281,9;26,888387;
2016-02-29;26;27,624828;
2016-03-31;12,5;29,683226;
2016-04-30;2,7;29,06;
2016-05-31;,2;27,655484;
2016-06-30;1,2;26,182;
2016-07-31;1;25,509032;
2016-08-31;,6;26,172903;
2016-09-30;0;27,768;
2016-10-31;,2;29,265806;
2016-11-30;16,5;29,611333;
2016-12-31;11,6;30,030323;
2017-01-31;0;30,172258;
2017-02-28;81,5;29,345714;
2017-03-31;10,2;29,516129;
2017-04-30;7,7;28,698;
2017-05-31;3;27,493548;
2017-06-30;2,6;25,644;
2017-07-31;,3;23,751613;
2017-08-31;0;25,851613;
2017-09-30;6,3;24,976667;
2017-10-31;0;28,133548;
2017-11-30;22,2;29,705333;
2017-12-31;13,6;29,563871;
2018-01-31;22,4;28,986452;
2018-02-28;118,9;27,905;
2018-03-31;78,7;28,125161;
2018-04-30;28,5;27,22;
2018-05-31;13,2;26,513548;
2018-06-30;2,6;25,572;
2018-07-31;0;25,525806;
2018-08-31;1,2;26,370323;
2018-09-30;0;27,923333;
2018-10-31;9,7;29,191613;
2018-11-30;0;29,667333;
2018-12-31;48,4;27,73871;
2019-01-31;9,8;29,404444;
2019-02-28;68,4;29,336429;
2019-03-31;63,5;28,563226;
2019-04-30;31,2;28,712667;
2019-05-31;21,6;28,393548;
2019-06-30;8,2;25,643333;
2019-07-31;1,6;25,26;
2019-08-31;3,9;25,356774;
2019-09-30;1;27,588;
2019-10-31;5,7;28,996129;
2019-11-30;,8;30,044667;
2019-12-31;23,3;30,302581;
2020-01-31;106,3;28,28963;
2020-02-29;19,8;28,648966;
2020-03-31;113,5;27,830968;
2020-04-30;77,5;27,338;
2020-05-31;6,5;26,591613;
2020-06-30;19,1;24,930667;
2020-07-31;5,4;24,544516;
2020-08-31;4,4;25,06;
2020-09-30;,6;26,948667;
2020-10-31;2,1;29,671333;
2020-11-30;163,1;27,251034;
2020-12-31;1,4;29,008;
2021-01-31;68,2;27,976522;
2021-02-28;86,2;28,3;
2021-03-31;21,6;29,062581;
2021-04-30;68,3;28,03;
2021-05-31;,2;25,85037;
2021-06-30;2,7;25,7232;
2021-07-31;2;24,719286;
2021-08-31;,2;25,497931;
2021-09-30;0;28,185185;
2021-10-31;46,9;29,193077;
2021-11-30;85,4;27,952593;
2021-12-31;135,7;26,919333;
2022-01-31;85,3;26,781818;
2022-02-28;49,6;28,0216;
